gene.name	ceRNA.total.sites	ceRNA.total.fams	shared.sites	shared.fams	shared.sites.rec	shared.fams.rec	target.total.sites	target.total.fams	pval.fams	pval.fams.rec	pval.sites	pval.sites.rec	pval.span	pval.clust	pval.even	pval.span.rec	pval.clust.rec	pval.even.rec	prod1	prod2	prod3	prod4	prod5	score	score.pval
RNF38	55	46	21	15	20	15	39	33	1.99854013480321e-07	1.99854013480321e-07	9.19413686486293e-10	3.11526074386283e-12	0.609156017219301	3.87603556520966e-20	0.0416554293760847	0.0011764684653891	3.30961767103642e-27	0.0435975116934257	2.86421336488095e-21	3.99416267041922e-14	0.000716652844760528	1.28281958001835e-46	0.00173517479650598	39.484154101534	0.00224581461821152
KLHL15	120	87	29	17	21	17	39	33	7.78957568658494e-05	7.78957568658495e-05	1.14302346512499e-07	2.51345274503942e-13	0.860775932852255	6.12897547786823e-24	0.0218143085335015	0.000773147676625237	6.4388189989947e-26	0.0402529222839875	2.87293546606289e-20	6.06774893770353e-09	0.000665506912579643	3.94633637512705e-49	0.000475864056794797	38.0671734948504	0.00244997958350347
CFL2	38	33	15	11	16	11	39	33	1.23776882585097e-05	1.23776882585097e-05	1.36607624997211e-07	2.72418565933925e-08	8.20340658450914e-09	5.94822163602553e-24	0.0615728096081074	1.94329672394917e-05	1.14460505915653e-20	0.0560172484796338	3.72144532973797e-15	1.53207166624848e-10	1.59416531408996e-13	6.80836457757912e-44	0.00379121088303624	38.052362448748	0.00265414454879543
FBXO28	59	45	24	13	17	13	39	33	9.27297057471632e-06	9.27297057471633e-06	1.1996335427222e-11	3.27153235365899e-09	0.131546057980148	3.60666803790558e-27	0.0330386509047893	0.062463234947635	1.29425065508559e-21	0.061008061649598	3.92463994755022e-20	8.59879832795548e-11	0.00821679232604919	4.66793247073556e-48	0.00109155245360854	37.6932677442517	0.00285830951408738
UHMK1	106	79	24	13	19	13	39	33	0.00520169060081755	0.00520169060081755	4.63888396444424e-06	3.49654721758238e-11	0.209336231715532	3.22100733242957e-28	0.0339274928074342	0.00178638056081557	1.01492704242449e-27	0.0483554426599983	1.6220076818565e-16	2.70575851066337e-05	0.00037395417501101	3.26908744553035e-55	0.0011510747681985	37.3982691403401	0.00306247447937934
EXOC5	29	24	16	11	15	11	39	33	2.62133282083256e-07	2.62133282083255e-07	1.09502562547027e-10	2.04961230249598e-07	0.00147312098468239	6.94018194924413e-24	0.0588649770962628	0.00925210422221455	1.04840500374827e-20	0.0642362524698459	2.24437799351223e-17	6.87138575757395e-14	1.36294688822128e-05	7.27612148251099e-44	0.00346508552854355	36.9683568087026	0.00326663944467129
BRWD3	51	45	18	14	19	14	39	33	1.23493326467302e-06	1.23493326467302e-06	6.03143723610232e-08	3.49654721758238e-11	0.103346952486494	1.48664541290873e-23	0.0528554967509945	0.0398910797908808	1.23428631663988e-23	0.0477035697374334	2.10892050859163e-18	1.52506016819596e-12	0.00412262152778309	1.8349460908487e-46	0.00279370353679439	36.918579009467	0.00347080440996325
UBE2W	46	41	18	14	19	14	39	33	3.1880932131262e-07	3.18809321312619e-07	9.12324254359876e-09	3.49654721758238e-11	0.0198816928853858	1.07682558773189e-18	0.0524295861087956	0.0398910797908808	4.36374722979131e-25	0.0478412504728595	3.18998483311495e-19	1.01639383355813e-13	0.000793102197268714	4.69899467543343e-43	0.00274886149953961	36.6012766486748	0.00367496937525521
SECISBP2L	45	39	19	13	17	13	39	33	1.4127864423515e-06	1.41278644235151e-06	7.60062641021655e-10	3.27153235365899e-09	0.840396504806574	2.947217733841e-22	0.0509236043358263	0.00408891624960298	4.94108947201001e-24	0.0549388023041276	2.48656952090984e-18	1.99596553169222e-12	0.00343631092461314	1.4562466516403e-45	0.00259321347855179	36.4688403808095	0.00387913434054716
DICER1	45	35	19	13	17	13	39	33	3.15925332417158e-07	3.15925332417158e-07	7.60062641021655e-10	3.27153235365899e-09	0.0165516515068881	7.70368902625339e-21	0.0441088180596822	0.0683268652108502	1.70173439945474e-22	0.0568353873041336	2.48656952090984e-18	9.98088156628918e-14	0.00113092246152811	1.31096326186774e-42	0.00194558783062214	35.9871743969975	0.00408329930583912
CLOCK	42	35	17	11	16	11	39	33	2.38701343420409e-05	2.38701343420409e-05	1.28233124760809e-08	2.72418565933925e-08	0.000742240763502292	1.3409552483439e-24	0.0543439351462016	0.00616054880253323	2.75492161511804e-22	0.0625384634140665	3.49330839525655e-16	5.69783313507081e-10	4.5726104467854e-06	3.69422659856859e-46	0.00295326328717457	35.9217382188923	0.00428746427113107
AGFG1	29	26	14	12	17	12	39	33	5.58312672354423e-08	5.58312672354424e-08	1.58301764117236e-08	3.27153235365899e-09	0.831440160562034	4.30484727301268e-23	0.160533557242613	0.062463234947635	1.22432340265045e-22	0.0558256678613253	5.1788934295083e-17	3.11713040111537e-15	0.0519344420940857	5.2705252611854e-45	0.0257710230009674	35.894339106045	0.00449162923642303
USP31	58	47	20	12	17	12	39	33	9.72972308041346e-05	9.72972308041342e-05	1.78096561488965e-08	3.27153235365899e-09	0.397791493387079	1.84357698991433e-23	0.0474303012498958	0.00393044893920715	2.02177477355646e-24	0.0579741451707807	5.82648662986568e-17	9.466751122153e-09	0.00156349915320887	3.72729745131794e-47	0.00224963347665587	35.0641290598471	0.00469579420171499
RAB11FIP2	36	34	17	15	17	15	39	33	1.28144318652651e-09	1.2814431865265e-09	7.02167353687877e-10	3.27153235365899e-09	0.421384180086596	3.15269204686102e-17	0.0594450587915584	0.062463234947635	1.95207699317863e-20	0.0557637451830221	2.29716321527301e-18	1.64209664029521e-18	0.0263210190439656	6.15429761125463e-37	0.00353371501473184	34.8453410631567	0.00489995916700694
SLC4A7	28	21	16	10	15	10	39	33	6.86256917224461e-07	6.86256917224461e-07	5.32032593654652e-11	2.04961230249598e-07	0.0126342685187964	1.20343993476919e-22	0.0678096673772245	0.0675188507526485	3.35022682882107e-19	0.0651992945093309	1.09046054928342e-17	4.7094855643842e-13	0.000853051290489499	4.03179675633842e-41	0.00459815098980982	34.5803885138335	0.0051041241322989
REEP3	38	30	19	13	17	13	39	33	3.31203317645509e-08	3.3120331764551e-08	1.94487025038428e-11	3.27153235365899e-09	0.0765014489561712	1.21648397575122e-16	0.045128265568502	0.0606091378563151	1.3901382570428e-20	0.0624818568222805	6.36270594780104e-20	1.09695637619392e-15	0.00463668686599243	1.69108091377129e-36	0.00203656035322124	34.517085744119	0.00530828909759085
SERBP1	42	36	17	12	16	12	39	33	4.24572938890204e-06	4.24572938890202e-06	1.28233124760809e-08	2.72418565933925e-08	0.525046727799889	4.66688106035537e-22	0.0588731322609218	0.00687547508163816	1.32944330704727e-22	0.0623524905828109	3.49330839525655e-16	1.80262180437864e-11	0.00360994569368379	6.20435379047512e-44	0.00346604570221199	34.2214004740171	0.00551245406288281
TMEM106B	24	21	13	12	15	12	39	33	2.208918994541e-09	2.20891899454101e-09	8.53670336170869e-09	2.04961230249598e-07	0.000631659975942448	2.88046988331196e-18	0.0757472297108339	0.0968495986198537	5.33439708684747e-17	0.0637549724066003	1.74969322329169e-15	4.87932312444406e-18	6.11760151342526e-05	1.53655701542912e-34	0.00573764280886584	33.3123344423671	0.00571661902817477
SOGA1	27	27	11	11	16	11	39	33	1.16172023226778e-06	1.16172023226778e-06	4.49092313503723e-06	2.72418565933925e-08	0.000278176210208803	4.92063044245988e-19	0.0871908768938632	0.00616054880253323	9.11515972160581e-22	0.0607158204779311	1.22341084016633e-13	1.34959389806031e-12	1.71371811869507e-06	4.48523324140177e-40	0.00760224901352081	33.1643900896763	0.00592078399346672
TROVE2	47	42	17	13	17	13	39	33	3.79501338390736e-06	3.79501338390737e-06	9.23140567531882e-08	3.27153235365899e-09	0.767185341802904	1.62958656300943e-15	0.0531356038674579	7.1034172901187e-06	2.65824812135067e-23	0.0520782586787574	3.02008423365568e-16	1.4402126584036e-11	5.44963762168837e-06	4.33184541969812e-38	0.00282339239835941	32.9443478952443	0.00612494895875868
RPS6KA5	27	18	13	6	11	6	39	33	0.00180891796755691	0.0018089179675569	5.40824198132913e-08	0.000227757050807888	3.5003542672481e-11	3.99051990846376e-27	0.0729574475654833	0.0441153179028839	3.23234868606465e-14	0.0919228993592251	1.23176524372293e-11	3.2721842133502e-06	1.54419241272366e-12	1.28987517828377e-40	0.00532278915527025	32.4062353442079	0.00632911392405063
ZBTB10	42	38	15	12	16	12	39	33	8.24366088102292e-06	8.24366088102292e-06	6.33295545359725e-07	2.72418565933925e-08	1.59294691576137e-05	2.7743185702591e-18	0.0597896056018778	0.00368649327187362	3.44631339873622e-19	0.0578751910552285	1.72521464279239e-14	6.79579447213076e-11	5.87238808740614e-08	9.56117126104665e-37	0.0035747969380281	32.0650352727298	0.00653327888934259
SMAD5	51	46	17	13	18	13	39	33	1.22610757804558e-05	1.22610757804558e-05	3.60739001814146e-07	3.55443862240849e-10	0.910684273767003	4.60162003072316e-20	0.0633804453581349	0.0550184967100651	2.89288382291313e-21	0.0526917847631876	1.28222464065729e-16	1.5033397929408e-10	0.0501044797201579	1.33119521460721e-40	0.00401708085379552	31.9078195729961	0.00673744385463454
FXR1	28	27	10	10	14	10	39	33	1.16920095031599e-05	1.16920095031599e-05	4.753278167218e-05	1.39083414173736e-06	2.18614571031829e-08	3.95697533424136e-19	0.0943367216195423	0.012375698643002	4.43326900575315e-19	0.068239827226576	6.61102156014159e-11	1.36703086221982e-10	2.70550805005906e-10	1.75423361058219e-37	0.00889941704592302	31.5077709437596	0.0069416088199265
BRAF	29	25	15	11	14	11	39	33	4.43196220646497e-07	4.43196220646497e-07	1.4064581551041e-09	1.39083414173736e-06	0.0392042801424223	2.9136564087567e-17	0.0608042464287365	0.0127754241288158	2.62898650170927e-19	0.0698380638143114	1.95615002104372e-15	1.96422889995339e-13	0.000500851306484356	7.65996336924005e-36	0.00369715638376652	31.4365506653107	0.00714577378521846
DCP1A	37	33	15	13	14	13	39	33	1.35951052573996e-07	1.35951052573996e-07	8.95550930580953e-08	1.39083414173736e-06	0.202257774753711	2.90333605855448e-19	0.0806963914858041	0.0138452142148894	8.92208953631394e-19	0.0688021526604775	1.24556280991666e-13	1.84826886959774e-14	0.00280030221809198	2.59038242684319e-37	0.00651190759883015	31.2983908530457	0.00734993875051041
SLC38A2	45	40	14	12	15	12	39	33	1.52622544651092e-05	1.52622544651092e-05	9.56881639011425e-06	2.04961230249598e-07	1.00832353352253e-05	2.49483416069904e-17	0.0646926355451492	0.00545395442501927	1.01835055180903e-20	0.0617205201459867	1.96123637935034e-12	2.32936411357745e-10	5.49935059750624e-08	2.54061574421988e-37	0.00418513709377751	31.1186420334449	0.00755410371580237
LCOR	69	57	19	14	17	14	39	33	3.08179576430217e-05	3.08179576430216e-05	2.0719603519203e-06	3.27153235365899e-09	0.987539498411756	8.98526931472089e-20	0.0543050783017951	0.00460003026662683	4.81211936083394e-21	0.0541902723102693	6.77848532680594e-15	9.49746513287074e-10	0.00454271158218355	4.32381884316755e-40	0.00294904152936409	31.0519239359537	0.00775826868109432
ELK4	80	58	21	12	17	12	39	33	0.000898855079351972	0.000898855079351971	1.44895335843197e-06	3.27153235365899e-09	0.0105179486026905	3.21289781837349e-20	0.0385032704229457	0.00408891624960298	7.91295606596723e-21	0.0548900880231703	4.74029779105303e-15	8.07940453676839e-07	4.30070109540302e-05	2.54235192812314e-40	0.00148250183326249	30.9499879249932	0.00796243364638628
MECP2	36	32	14	10	15	10	39	33	6.71961663420355e-05	6.71961663420354e-05	4.44086865244718e-07	2.04961230249598e-07	0.669685070464044	7.82338316518873e-23	0.0968264708188265	0.00925210422221455	5.4786863180338e-20	0.0651496085545126	9.10205902382449e-14	4.5153247710665e-09	0.00619599606799443	4.28618623078554e-42	0.00937536545122906	30.8500355289728	0.00816659861167824
ENPP4	35	32	15	12	16	12	39	33	9.49250245720713e-07	9.49250245720713e-07	3.64429315458388e-08	2.72418565933925e-08	0.00572026561714399	1.11096696425157e-17	0.0635660067277137	0.0778844142694977	6.86795997982718e-18	0.0586867915378429	9.92773115014559e-16	9.01076029000834e-13	0.000445519537057206	7.63007664938987e-35	0.00404063721130775	30.8134437947406	0.00837076357697019
FAM160B1	43	38	14	14	17	14	39	33	1.01576248870878e-07	1.01576248870878e-07	5.26456379598796e-06	3.27153235365899e-09	0.115497807665675	2.87542405420867e-12	0.07214565457383	0.00490280980336609	2.61468404907276e-22	0.0554355816378025	1.72231907864764e-14	1.03177343346785e-14	0.000566263783690562	7.51832540885955e-34	0.0052049954738864	30.5805137074768	0.00857492854226215
BRWD1	48	41	15	12	16	12	39	33	2.04351209130481e-05	2.04351209130481e-05	4.35293179258103e-06	2.72418565933925e-08	0.107675831938484	4.82405394131464e-14	0.072576963444305	1.16579205058735e-05	6.77267262837777e-23	0.0570413644913391	1.18581943654311e-13	4.17594166730898e-10	1.25527628914264e-06	3.26717380861595e-36	0.00526741562279599	30.3806383037515	0.0087790935075541
E2F7	50	43	17	13	17	13	39	33	5.16154735417762e-06	5.16154735417763e-06	2.60597458663105e-07	3.27153235365899e-09	0.192125920812683	1.97901555128328e-15	0.0588478748775536	0.00393044893920715	1.20086395071101e-20	0.0553010195520985	8.5255301729766e-16	2.6641571089418e-11	0.000755141121652406	2.37652843343256e-35	0.00346307237760421	30.3251774140878	0.00898325847284606
ZBTB18	49	42	17	10	15	10	39	33	0.000858917897381118	0.000858917897381118	1.86378113330454e-07	2.04961230249598e-07	0.0929029953518974	1.05050606903727e-20	0.0670080821640451	3.51615312068266e-05	3.88589572246408e-19	0.0603781371032877	3.82002873998088e-14	7.37739954441601e-07	3.2666115702734e-06	4.08215704009449e-39	0.00449008307530343	30.2894884579345	0.00918742343813802
ATXN1	91	69	24	13	17	13	39	33	0.00133717752942004	0.00133717752942004	2.41769895995369e-07	3.27153235365899e-09	0.98093006603584	3.05885381434025e-24	0.034373032416365	0.062463234947635	5.71417491011403e-18	0.0546264619670013	7.90958036889619e-16	1.78804374518587e-06	0.0612720651819958	1.74788257196096e-41	0.00118150535749648	30.2777312126958	0.00939158840342997
RAP1B	20	20	9	9	13	9	39	33	5.22557543179404e-06	5.22557543179407e-06	1.2774098398494e-05	8.49225024805924e-06	1.84775421678591e-08	1.11406396496983e-14	0.10370701011308	7.86714229341539e-05	1.98036904809959e-17	0.0714386976079502	1.08480840293344e-10	2.73066385933697e-11	1.45365453467131e-12	2.20625779382935e-31	0.0107551439465944	29.929298083869	0.00959575336872193
ZNF367	59	49	19	14	18	14	39	33	4.0801436335213e-06	4.08014363352128e-06	1.40229405435805e-07	3.55443862240849e-10	0.133892759156805	1.60067321737083e-16	0.0512736025849117	0.0550184967100651	4.90981853982754e-18	0.0506532481034878	4.98436814678406e-17	1.66475720701643e-11	0.00736657832917019	7.85901503885268e-34	0.00262898232203547	29.886917790536	0.00979991833401388
DCBLD2	32	26	14	11	17	11	39	33	7.27263853147936e-07	7.27263853147936e-07	7.57838120884905e-08	3.27153235365899e-09	0.50770291319108	4.21534404954747e-14	0.0729755337899547	0.0606091378563151	3.25158342087815e-20	0.0554585100752796	2.4792919313111e-16	5.28912712095583e-13	0.0307714358556509	1.37065428248059e-33	0.00532542853192882	29.7175583696949	0.0100040832993058
ZMAT3	69	52	20	11	15	11	39	33	0.00131641474321248	0.00131641474321248	4.57355807006313e-07	2.04961230249598e-07	0.0981724515665692	4.50757538731845e-22	0.0469185622656893	0.00574594341435761	3.79722250860215e-19	0.0640350375992194	9.37402088658118e-14	1.73294777614717e-06	0.000564093351550269	1.71162667199467e-40	0.00220135148507936	29.685773997442	0.0102082482645978
LARP4	36	30	14	10	14	10	39	33	3.50935061081502e-05	3.50935061081502e-05	4.44086865244718e-07	1.39083414173736e-06	0.00539793282514694	1.47802006194873e-20	0.0762635219543974	0.012375698643002	1.08303044536873e-17	0.0714307437621596	6.17651174079473e-13	1.23155417096278e-09	6.68031899391869e-05	1.60074072595624e-37	0.00581612478088886	29.6227808451474	0.0104124132298898
SYNCRIP	47	38	17	10	13	10	39	33	0.000348310552818003	0.000348310552818003	9.23140567531882e-08	8.49225024805924e-06	0.0553784028590345	1.81017810584245e-22	0.0555800881256786	0.0209059797330605	9.57600373532868e-19	0.0777442072453243	7.83954071361617e-13	1.21320241204383e-07	0.00115773976782024	1.73342723031575e-40	0.0030891461960582	29.5787415052994	0.0106165781951817
PAFAH1B2	43	38	16	11	15	11	39	33	5.81987426345392e-05	5.81987426345392e-05	1.39013217547422e-07	2.04961230249598e-07	0.804539465477962	1.03005886254197e-17	0.0692021331559152	0.00925210422221455	3.34779242335345e-21	0.0649524407341584	2.84923200894746e-14	3.38709364424133e-09	0.00744368298548689	3.44842325562609e-38	0.00478893523332901	29.4389177147714	0.0108207431604737
HCFC2	26	19	15	9	13	9	39	33	3.04517243743619e-06	3.04517243743619e-06	1.78191810583167e-10	8.49225024805924e-06	0.0351363847111599	2.07924253188139e-20	0.0695545433285528	0.14835389868578	2.0344164649642e-14	0.0829271190022843	1.51324944762703e-15	9.27307517372106e-12	0.00521261965762401	4.23004524151335e-34	0.00483783449764353	29.3924128894798	0.0110249081257656
CYLD	19	15	12	8	12	8	39	33	3.91245912845663e-06	3.91245912845662e-06	2.87969936526010e-09	4.65179025973991e-05	0.179536308743812	1.63984188577035e-17	0.0909480377506259	0.000323687429077776	1.25557785539304e-17	0.0786605459202808	1.33957574582961e-13	1.53073364318436e-11	5.81136462033984e-05	2.05894915811921e-34	0.00827154557068927	29.3315367044395	0.0112290730910576
TNPO1	57	49	17	13	16	13	39	33	2.69837689197107e-05	2.69837689197108e-05	2.10799178606817e-06	2.72418565933925e-08	0.00220478003418058	5.4492204762398e-19	0.0514138314185731	0.0778844142694977	2.51939771661614e-17	0.0594504575056622	5.74256099361182e-14	7.2812378511235e-10	0.000171718001555238	1.37287536251765e-35	0.00264338206113746	29.2815520065371	0.0114332380563495
BCL2L11	47	39	16	11	14	11	39	33	7.66312609611129e-05	7.66312609611129e-05	5.7213326043745e-07	1.39083414173736e-06	0.0987112231452978	4.85118523200842e-22	0.0668387149888311	0.0862319569675265	3.0291082139471e-18	0.0688272100079361	7.95742472239921e-13	5.87235015649019e-09	0.00851206194647723	1.46947650336555e-39	0.0044674138213582	29.2811281568551	0.0116374030216415
YOD1	71	55	19	13	18	13	39	33	0.000108121259946814	0.000108121259946815	3.30549649678371e-06	3.55443862240849e-10	0.835219971047417	5.90030404349243e-18	0.054239733706882	0.0483844747790801	4.94608398704868e-20	0.0493807210469533	1.1749184414404e-15	1.16902068524866e-08	0.0404116796241277	2.91833993482365e-37	0.00294194871259347	29.1608090111355	0.0118415679869334
ETNK1	32	32	11	11	16	11	39	33	8.72312305294134e-06	8.72312305294134e-06	3.01332900985655e-05	2.72418565933925e-08	0.134608045569368	1.15105429990646e-14	0.116428831899829	0.00616054880253323	1.01088109183622e-22	0.0625900801006771	8.20886767552213e-13	7.60928757967566e-11	0.000829259433943711	1.16357902745222e-36	0.0135556728975587	29.0529896140063	0.0120457329522254
AGO1	29	25	13	9	14	9	39	33	4.75304939994179e-05	4.7530493999418e-05	1.56188252931631e-07	1.39083414173736e-06	0.391200169798695	2.61415430013122e-20	0.148066348132287	0.0134157967474492	5.81941521159034e-19	0.0726597353426365	2.17231954715623e-13	2.25914785982871e-09	0.0052482619655869	1.52128492996279e-38	0.0219236434492317	29.0429629956283	0.0122498979175174
MINDY2	30	27	12	11	15	11	39	33	1.16172023226778e-06	1.16172023226778e-06	2.07998500407529e-06	2.04961230249598e-07	0.834815578259597	7.77609369124627e-17	0.104784415649926	0.00939658317353526	2.95655441935352e-19	0.0640323909132796	4.26316285335988e-13	1.34959389806031e-12	0.00784441401567923	2.29904441681612e-35	0.0109797737630964	28.986490196564	0.0124540628828093
KLHL42	53	43	18	12	15	12	39	33	3.5580047758457e-05	3.55800477584571e-05	1.18884943530183e-07	2.04961230249598e-07	0.750900258806273	1.83486123656834e-17	0.0534630260092285	0.00522665595789996	2.69473221200266e-19	0.0635252637261485	2.43668042841002e-14	1.26593979849409e-09	0.00392469731147843	4.94445967873574e-36	0.00285829515006344	28.9051594745792	0.0126582278481013
MIER3	54	44	17	11	16	11	39	33	0.000264288131012024	0.000264288131012024	9.05241887805864e-07	2.72418565933925e-08	0.0429452283580298	2.39524227040884e-18	0.0526851132036855	0.0778844142694977	5.49643951577559e-20	0.0608350501827981	2.46604696899392e-14	6.98482161938289e-08	0.00334476395633498	1.31653042649312e-37	0.00277572115328516	28.8636737227796	0.0128623928133932
CBFB	32	27	13	11	16	11	39	33	1.16172023226778e-06	1.16172023226778e-06	6.30682280595639e-07	2.72418565933925e-08	0.790847154986656	6.24326363574186e-13	0.0860487301620165	0.00549513746985638	7.76269818620678e-21	0.0593451830644365	1.71809562439801e-14	1.34959389806031e-12	0.00434581383429649	4.84645713011841e-33	0.00740438396249552	28.7554955170009	0.0130665577786852
DYRK2	64	52	18	12	15	12	39	33	0.000291245799846331	0.000291245799846331	2.73506862234743e-06	2.04961230249598e-07	0.000390837942756699	8.07688500701404e-22	0.0507941024880923	0.0968495986198537	1.24405004345983e-15	0.0641269001365752	5.60583029653403e-13	8.48241159281292e-08	3.78524978813957e-05	1.00480491439959e-36	0.00258004084757082	28.7045037101974	0.0132707227439771
CDK6	102	75	25	15	16	15	39	33	0.000209380056102605	0.000209380056102605	6.22611635352945e-07	2.72418565933925e-08	0.886339032217659	1.07374833648644e-22	0.0305802759608847	0.0778844142694977	2.08967094147693e-15	0.0567368196469695	1.69610968836625e-14	4.38400078935299e-08	0.0690319963684659	2.2437806972149e-37	0.000935153277843865	28.5372089135055	0.0134748877092691
CACUL1	36	32	13	10	14	10	39	33	6.71961663420355e-05	6.71961663420354e-05	3.05986805660848e-06	1.39083414173736e-06	0.00194376246670606	2.6905477640282e-18	0.0725900077739791	0.0138452142148894	3.45206993243994e-18	0.0717331505858372	4.25576896234263e-12	4.5153247710665e-09	2.69118077344072e-05	9.28795903799528e-36	0.00526930922862634	28.3663360609672	0.013679052674561
ANKIB1	20	19	10	10	15	10	39	33	2.01080016224293e-07	2.01080016224293e-07	1.24067580828187e-06	2.04961230249598e-07	0.105337430878464	1.17983643474958e-15	0.147969514640813	0.00894125615756569	2.96250501328402e-16	0.0624571477208641	2.54290440006366e-13	4.04331729247618e-14	0.000941848952464218	3.49527135280078e-31	0.0218949772630378	28.1514631364838	0.013883217639853
ARHGAP12	34	30	13	11	16	11	39	33	4.12583700700998e-06	4.12583700700998e-06	1.43873650363286e-06	2.72418565933925e-08	0.598452170469034	1.94917825055986e-11	0.0743194981413234	0.00616054880253323	7.4458641710988e-22	0.0623179635915891	3.91938535076454e-14	1.70225310084131e-11	0.00368679380215642	1.45133164989287e-32	0.00552338780397818	27.9557486354998	0.014087382605145
DUT	8	7	8	7	10	7	39	33	1.38538885935416e-08	1.38538885935416e-08	2.14600924414214e-09	0.00099229460705214	2.45393595919929e-05	6.16121920942387e-12	0.11231809378298	0.0467520348690584	1.04881940528471e-14	0.0951877242330814	2.12947339964629e-12	1.91930229162261e-16	1.14726499530922e-06	6.46200626705667e-26	0.0126153541910422	27.8233578137389	0.0142915475704369
C5orf24	54	41	17	10	14	10	39	33	0.000693753744528763	0.00069375374452876	9.05241887805864e-07	1.39083414173736e-06	0.541387953223781	1.53417055491458e-20	0.0649646243106525	0.0138452142148894	1.81264638570336e-18	0.0697376410512765	1.25904132409118e-12	4.81294258047678e-07	0.00749563218574376	2.78090871141843e-38	0.00422040241182422	27.7568345829353	0.0144957125357289
